M142,C, ,1-b,7-h, ,,,,,,,,
M143,B, , ,9-h, ,,,,,,,,
M145,C, ,2-b,6-h, ,,,,,,,,
M146,A, ,2-b,7-h, ,,,,,,,,
M149,C, ,6-b,2-h, ,,,,,,,,
M150,C,1-a, ,1-h,6-wh,,,,,,,,
M152,C, , ,9-h, ,,,,,,,,
M153,A, ,1-b,7-h, ,,,,,,,,
M154,D, ,6-b,3-h, ,,,,,,,,
M155,B, ,1-b,8-h, ,,,,,,,,
M158,B, , ,1-h,7-wh,,,,,,,,
M161,B, ,1-b,8-h, ,,,,,,,,
M163,C, ,2-b,4-h,2-wh,,,,,,,,
M165,A, ,1-b,7-h, ,,,,,,,,
M166,B, ,1-b,2-h,5-wh,,,,,,,,
M167,A,2-a,1-b,2-h,3-wh,,,,,,,,
M171,B, ,2-b,6-h, ,,,,,,,,
M173,B, , ,9-h, ,,,,,,,,
M175,B, ,6-b,2-h, ,,,,,,,,
M180,B, ,6-b,2-h, ,,,,,,,,
M182,B, , ,9-h, ,,,,,,,,
M183,B,1-a, ,1-h,6-wh,,,,,,,,
M184,A,8-a, , , ,,,,,,,,
M187,B, , ,5-h,3-wh,,,,,,,,
M188,A, ,2-b,6-h, ,,,,,,,,
M195,None, ,4-b,4-h, ,,,,,,,,
M189,A, , ,9-h, ,,,,,,,,
M191,C, ,3-b,4-h, ,,,,,,,,
M192,B, , ,8-h, ,,,,,,,,
M194,D, ,6-b,3-h, ,,,,,,,,
M197,F, ,6-b,2-h, ,,,,,,,,
M198,C,1-a,1-b,4-h,2-wh,,,,,,,,
M199,A,1-a, ,1-h,6-wh,,,,,,,,
M200,C, ,5-b,3-h, ,,,,,,,,
M206,D, ,2-b,6-h, ,,,,,,,,
M208,D, ,6-b,3-h, ,,,,,,,,
M210,C, , ,9-h, ,,,,,,,,
M212,B,1-a,1-b,2-h,4-wh,,,,,,,,
M217,D,2-a,2-b,2-h,2-wh,,,,,,,,
M218,C, , ,9-h, ,,,,,,,,
M223,B, , ,8-h, ,,,,,,,,
M224,C, ,3-b,4-h,1-wh,,,,,,,,
M225,C, ,2-b,4-h,1-wh,,,,,,,,
M234,A,1-a, , ,7-wh,,,,,,,,
M241,B, ,5-b,3-h, ,,,,,,,,
M242,B, ,7-b,2-h, ,,,,,,,,
M243,B, ,1-b,1-h,6-wh,,,,,,,,
M245,B, ,2-b,2-h,4-wh,,,,,,,,
M247,A, , ,9-h, ,,,,,,,,
M250,B, ,3-b,5-h, ,,,,,,,,
M255,A,1-a, ,1-h,6-wh,,,,,,,,
M256,B, ,4-b,4-h, ,,,,,,,,
M258,A, ,5-b,4-h, ,,,,,,,,
M260,B,1-a,1-b,2-h,5-wh,,,,,,,,
M276,A,2-a, ,1-h,4-wh,,,,,,,,
M278,A, , ,7-h,1-wh,,,,,,,,
M286,C, ,6-b,3-h, ,,,,,,,,
M289,B,3-a, ,1-h,3-wh,,,,,,,,
M290,A,1-a, , ,7-wh,,,,,,,,
M292,C,1-a,2-b,5-h, ,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7-r,8-m,7-w,,,,
M293,A, , ,9-h, ,CITY COLLEGE ACADEMY OF THE ARTS,8-r,8-m,8-w,,,,
M301,B,1-a,2-b,5-h, ,,,,,,,,
M302,A, ,5-b,4-h, ,,,,,,,,
M311,A, , ,8-h, ,,,,,,,,
